city,lat,lon,temp_max,humidity,cloudiness,windspeed,country,date/time
vao,-22.6667,167.4833,74.43,72,92,26.46,NC,1619935944
cape town,-33.9258,18.4232,61,93,0,5.75,ZA,1619935944
nanortalik,60.1432,-45.2371,34.79,69,85,12.97,GL,1619935945
port blair,11.6667,92.75,86.58,66,14,10.56,IN,1619935945
ayan,56.45,138.1667,32.54,85,97,8.77,RU,1619935946
inuvik,68.3499,-133.7218,24.8,86,100,4.61,CA,1619935946
puerto ayora,-0.7393,-90.3518,73,95,46,5.19,EC,1619935947
ushuaia,-54.8,-68.3,35.6,80,40,6.91,AR,1619935947
deputatskiy,69.3,139.9,25.12,87,100,5.41,RU,1619935947
dunedin,-45.8742,170.5036,55.11,73,18,4.99,NZ,1619935947
kapaa,22.0752,-159.319,75.2,83,75,16.11,US,1619935948
castro,-24.7911,-50.0119,52.86,98,22,4.56,BR,1619935948
bluff,-46.6,168.3333,55.99,89,96,11.01,NZ,1619935948
khor,47.8861,134.9464,50.68,47,100,14.65,RU,1619935949
rikitea,-23.1203,-134.9692,77,76,89,14.7,PF,1619935949
raudeberg,61.9875,5.1352,41,76,17,13.96,NO,1619935949
albany,42.6001,-73.9662,46,69,100,3.47,US,1619935950
busselton,-33.65,115.3333,60.01,82,60,13.65,AU,1619935950
kahului,20.8947,-156.47,71.6,88,40,16.11,US,1619935950
kamina,-8.7386,24.9906,65.1,94,100,2.17,CD,1619935951
puerto escondido,15.85,-97.0667,80.71,81,53,9.64,MX,1619935951
port elizabeth,-33.918,25.5701,55.4,71,0,4.61,ZA,1619935951
manta,-0.95,-80.7333,77,78,90,2.3,EC,1619935952
cherskiy,68.75,161.3,23.7,82,19,3.89,RU,1619935952
nome,64.5011,-165.4064,26.6,68,1,16.11,US,1619935953
oum hadjer,13.2954,19.6966,89.42,12,70,8.32,TD,1619935953
hermanus,-34.4187,19.2345,57.99,72,70,8.01,ZA,1619935953
punta arenas,-53.15,-70.9167,39,93,75,11.5,CL,1619935954
bourail,-21.5667,165.4833,75.52,75,87,7.14,NC,1619935954
